ABCG1,716,584,3691,2341,2363,940,1008,2655,3075,838,2057,240,1105,1866,1384,1704
ABCG2,246,179,418,134,257,67,714,89,346,303,257,72,146,589,65,425
ABCG4,9,2,4,3,4,4,9,10,5,5,6,26,5,10,3,15
ABCG5,20,29,227,11,93,23,292,28,89,157,111,113,22,373,18,198
ABCG8,23,9,410,2,205,0,783,1,168,267,212,100,20,814,2,485
ABHD1,18,29,44,14,15,24,21,27,18,25,38,22,15,36,27,28
ABHD10,402,298,619,586,625,474,548,484,482,228,432,236,386,658,249,838
ABHD11,331,101,363,343,158,353,260,267,248,150,258,208,257,285,155,359
ABHD12,2745,620,2511,1189,1061,2066,1720,3452,1435,868,2336,819,1137,2213,820,2462
ABHD12B,58,2,190,139,40,806,38,673,137,44,88,231,19,93,109,35
ABHD13,765,715,907,586,659,982,678,750,820,476,799,211,536,967,502,764
ABHD14A,128,87,199,183,199,219,172,254,109,100,201,131,80,236,65,290
ABHD14A-ACY1,0,0,2,1,0,2,0,2,0,0,4,0,0,0,0,0
ABHD14B,1516,957,1741,1824,1994,1758,1930,1491,1027,741,1981,1072,822,2403,747,2160
ABHD15,733,243,1061,706,461,673,981,936,682,523,781,303,494,812,267,1231
ABHD16A,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
ABHD16A-2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ABHD16A-3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
ABHD16A-4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
ABHD16A-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD16A-6,0,0,0,1,2,1,0,0,0,0,0,0,0,1,1,0
ABHD16A-7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ABHD16B,86,42,159,76,60,246,102,169,42,91,175,82,46,130,55,204
ABHD17A,1806,619,1817,826,675,2055,1431,1989,1364,641,1602,630,745,2016,659,1182
ABHD17B,1391,312,1188,924,435,2196,1462,876,924,391,1187,458,1008,910,689,1809
ABHD17C,372,139,435,159,96,226,226,368,445,63,269,55,199,445,100,437
ABHD2,5139,2117,10124,1639,3924,2284,13496,4443,6239,6003,9067,1437,2436,18269,1568,8710
ABHD3,953,185,961,294,231,549,817,709,606,326,761,211,729,762,464,539
ABHD4,2123,358,2039,921,450,1952,2603,1482,392,422,1530,373,1080,1405,617,2157
ABHD5,386,224,595,354,382,313,399,382,310,434,487,83,215,712,185,327
ABHD6,310,143,672,277,438,162,589,386,316,259,506,178,143,888,150,455
ABHD8,156,208,237,93,156,85,211,256,112,101,163,40,116,277,76,192
ABI1,3642,1818,3035,1264,1814,4036,2869,3186,2418,959,2829,1244,2163,2739,1795,3374
ABI2,2890,1225,2214,1274,1065,3216,1378,2081,1828,874,2509,917,1166,2303,950,3277
ABI3,257,88,579,75,178,76,457,1573,290,272,650,160,102,943,180,314
ABI3BP,256,82,565,71,141,141,256,626,125,331,405,28,19,219,69,168
ABL1,7525,2484,9410,3475,2480,13322,5151,10541,5554,2756,6436,3436,4622,7193,3395,7510
ABL2,8357,5334,9082,7719,4903,20115,5746,5109,10974,4926,9218,2119,8696,9749,4096,8259
ABLIM1,3467,3070,3768,331,2282,1641,1667,2195,1884,1377,3016,490,1793,3231,872,2313
ABLIM2,181,43,119,74,76,70,105,72,91,93,122,11,116,87,38,259
ABLIM3,441,78,2187,57,419,118,1513,219,386,573,1198,320,156,2428,73,867
ABO,2,2,16,0,1,2,11,6,2,0,2,1,3,7,3,3
ABR,328,82,227,276,151,214,146,955,35,208,285,124,465,173,157,178
ABR-2,14,5,2,12,3,111,26,24,0,10,20,12,5,9,3,5
ABR-3,1,0,2,0,0,3,1,0,1,0,1,5,1,3,0,1
ABRA,14,7,9,2,8,1,5,27,9,12,25,11,31,7,28,10
ABRACL,278,311,374,142,314,280,297,288,425,137,303,58,194,267,189,166
ABT1,509,414,734,1014,730,791,547,672,748,305,536,169,470,767,307,938
ABTB1,349,111,545,152,246,404,260,486,205,287,512,264,173,401,131,323
ABTB2,2390,1108,1260,839,235,1490,1744,1052,336,360,1430,297,1035,993,636,1741
AC000099.1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
AC000124.1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,2
AC002116.7,3,11,2,2,4,1,3,13,5,1,2,7,7,7,2,9
AC002398.5,11,11,6,1,12,3,3,0,0,10,8,30,6,2,13,6
AC002454.1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
AC002463.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002480.3,4,5,5,4,2,4,3,8,5,1,3,2,0,7,0,0
AC002511.1,5279,75,1056,182,94,1100,410,1258,478,1665,1036,425,1179,170,3297,619
AC003051.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC003102.3,8,8,1,2,0,0,11,3,0,6,23,5,3,0,6,20
AC003665.1,63,86,43,67,25,68,40,53,40,29,39,38,42,37,61,62
AC003958.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003958.2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003984.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AC004019.13,11,4,10,6,3,0,12,13,3,16,15,13,2,17,1,8
AC004053.1,1,0,1,4,0,5,3,4,2,4,6,2,6,0,6,0
AC004603.4,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,3
AC004862.6,1,2,10,0,7,0,13,0,7,17,1,1,0,8,0,11
AC004893.11,140,128,140,174,52,216,113,236,103,138,134,141,126,122,59,115
AC005022.1,0,6,3,0,0,0,0,3,0,1,0,0,1,0,1,2
AC005029.1,0,6,1,0,1,0,0,0,1,0,1,2,0,0,0,0
AC005062.2,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,0
AC005235.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AC005264.2,3,1,1,3,2,5,2,6,1,9,2,7,1,2,1,6
AC005358.3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3
AC005550.4,0,2,0,0,0,3,0,0,1,2,1,0,0,0,0,0
AC005592.2,12,35,17,6,1,32,5,5,14,7,10,14,9,17,20,13
AC005594.3,25,24,40,11,12,12,21,42,23,14,34,24,18,22,19,10
AC006004.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006145.4,9,10,10,0,3,8,1,7,6,8,6,16,7,5,14,17
AC006196.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AC006262.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006272.1,7,12,18,0,6,7,2,31,1,21,19,9,2,5,2,10
AC006372.4,0,1,1,1,0,0,0,2,0,0,1,0,0,0,2,0
AC007038.7,37,117,51,18,13,50,12,63,31,79,79,58,37,29,85,46
AC007040.7,5,28,14,36,17,39,7,8,1,7,14,8,9,5,10,14
AC007099.1,30,11,10,2,4,18,4,50,8,18,10,15,18,5,25,0
AC007131.1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007163.3,0,1,0,0,1,0,0,0,0,1,0,1,0,2,0,0
AC007163.6,0,0,4,0,0,4,2,1,1,6,2,2,1,1,0,3
AC007246.3,177,60,279,223,55,139,421,167,220,91,146,43,174,231,147,188
AC007359.6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AC007365.1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
AC007386.2,0,0,0,0,1,1,0,0,0,0,1,1,2,0,0,0
AC007392.3,2,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1
AC007392.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007403.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007405.4,0,1,1,0,0,5,1,0,0,2,4,1,1,0,3,1
AC007461.2,7,1,5,6,3,16,4,25,0,17,3,9,22,0,1,0
AC007463.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007551.3,23,42,35,10,17,30,13,42,15,16,33,17,23,41,18,5
AC007682.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007740.1,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
AC007743.1,6,4,10,4,4,3,6,5,2,2,12,0,5,2,2,13
AC007750.5,6,5,2,3,3,5,5,4,1,11,8,2,0,3,5,0
AC007773.2,31,38,19,9,22,23,24,35,22,15,28,28,31,19,18,24
AC007879.2,6,2,1,2,0,4,1,2,4,1,1,0,5,4,3,4
AC007880.1,2,1,0,0,0,0,0,1,0,4,0,0,0,1,0,0
AC007966.1,1,8,1,1,1,0,0,0,1,2,1,1,4,1,12,0
AC008697.1,0,13,1,0,1,0,0,0,2,0,1,3,1,0,2,0
AC008703.1,1,5,0,0,0,1,0,0,0,0,2,1,8,0,0,0
AC009120.4,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0
AC009227.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009264.1,2,0,1,0,1,0,2,0,1,0,1,0,0,0,0,0
AC009299.3,0,3,42,2,13,0,20,28,10,11,17,0,0,57,2,7
AC009473.1,2,6,1,2,3,2,6,13,1,5,6,4,4,3,4,0
AC009501.4,14,31,16,5,8,7,1,7,2,17,17,15,3,13,11,6
AC009518.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009948.5,516,361,446,254,290,373,279,468,301,227,377,242,219,302,269,436
AC010091.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
AC010127.3,4,1,1,0,0,0,2,0,1,0,4,1,0,3,0,1
AC010226.4,31,19,44,23,6,30,23,61,20,20,34,22,20,23,24,40
AC010524.2,2,8,5,42,15,4,2,18,8,12,3,5,0,9,6,9
AC010731.4,0,0,0,6,0,1,2,0,0,0,0,0,16,0,2,1
AC010890.1,3,5,7,0,3,0,1,19,1,3,5,6,3,0,1,1
AC010975.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC010987.6,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0
AC011298.2,0,0,2,0,1,0,0,3,4,0,2,1,1,1,0,0
AC011343.1,2,0,39,0,4,0,14,0,4,38,25,8,0,31,0,12
AC011518.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC011609.3,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0
AC011718.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC011738.4,1,3,1,1,6,0,2,2,5,1,1,3,10,0,3,0
AC011747.4,5,4,10,1,5,1,1,40,3,14,10,1,3,4,5,1
AC011747.7,14,27,25,23,11,22,34,28,15,22,15,13,7,34,25,43
AC011899.9,30,29,100,20,70,6,58,384,72,113,132,36,25,176,35,56
AC012075.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
AC012309.5,27,22,24,22,36,9,25,19,23,5,26,34,42,8,16,90
AC012314.8,0,3,7,2,1,2,1,2,0,2,1,6,2,0,1,1
AC012314.8-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC012314.8-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC012314.8-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC012314.8-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC012314.8-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC012314.8-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC012314.8-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC012314.8-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC012314.8-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC012494.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC012507.3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
AC015922.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AC016582.2,1,2,2,0,2,1,0,0,0,1,1,0,2,0,1,0
AC016629.8,32,46,61,22,26,46,33,37,24,22,28,49,19,27,24,26
AC016738.3,2,7,7,1,2,7,2,7,2,10,25,2,5,7,12,1
AC016910.1,10,5,8,2,0,14,4,10,3,9,10,12,10,9,8,12
AC016995.3,5,0,11,41,17,10,5,4,9,1,4,15,25,3,5,0
AC017060.1,1,2,4,0,0,1,4,1,1,2,2,0,0,4,0,7
AC018464.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC018470.4,5,0,2,0,0,3,7,5,0,0,8,1,0,2,0,11
